cluster,gene,score,logfoldchange,pval_adj
0,Neurod6,33.9705810546875,3.6564958095550537,1.1461657274631065e-248
0,Crym,33.66560745239258,4.358447074890137,1.7427372171039035e-244
0,Hpca,33.568058013916016,3.570420503616333,3.094510334891814e-243
0,Cpne6,33.474769592285156,3.43327260017395,5.308487862878996e-242
0,Tspan13,33.140899658203125,3.1475231647491455,2.8973694326694146e-237
0,Gria1,32.55852127075195,3.3501412868499756,4.999998023817173e-229
0,Fam131a,32.37718963623047,2.806478500366211,1.5536036251362816e-226
0,Camkv,32.1826057434082,2.807098865509033,7.307882300400825e-224
0,Ppp3ca,32.11294937133789,2.9399383068084717,6.111270793804823e-223
0,Gria2,31.87118911743164,2.565725564956665,1.2665810285186167e-219
1,Trf,29.644874572753906,6.397874355316162,7.468513406260201e-189
1,Ermn,29.28840446472168,5.114749908447266,1.3780358530124438e-184
1,Car2,29.082921981811523,5.005504131317139,3.7216660809182055e-182
1,Apod,29.002443313598633,5.9505743980407715,2.897854694503151e-181
1,Cryab,28.926651000976562,4.380405426025391,2.08790927426414e-180
1,Mal,28.82610321044922,5.8690948486328125,3.184159716975062e-179
1,Ugt8a,28.80885887145996,5.1053643226623535,4.488872114157114e-179
1,Plp1,28.648433685302734,6.657088756561279,3.964003836080649e-177
1,Dbndd2,28.519906997680664,3.4000461101531982,1.3945767327004736e-175
1,Aspa,28.452587127685547,4.690788745880127,8.561529598909198e-175
2,Pcsk2,24.30072593688965,2.779444932937622,3.6425338151285706e-126
2,Arpp21,22.354358673095703,2.571821689605713,1.0356115544701795e-106
2,Snap25,22.330806732177734,2.520639181137085,1.1697473597683285e-106
2,Mef2c,21.259336471557617,3.1667046546936035,1.2776229242850185e-96
2,Atp2b2,20.379261016845703,2.1532084941864014,9.664011822650166e-89
2,Tagln3,20.028606414794922,2.3274097442626953,9.77860075356799e-86
2,Calm1,19.75435447692871,1.2939167022705078,1.9883240203534977e-83
2,Osbpl1a,19.72150993347168,1.9875214099884033,3.33245323819464e-83
2,Camk2n1,19.671567916870117,2.284482717514038,7.94165466344615e-83
2,Stx1a,19.15828514099121,2.2869060039520264,1.5612511443041865e-78
3,Gad1,27.530521392822266,7.169139385223389,1.4321911657860778e-162
3,Gad2,27.38427734375,7.108609676361084,3.991765305626245e-161
3,Nap1l5,25.93990135192871,3.5132687091827393,1.4902846151183244e-144
3,Vstm2a,25.428165435791016,4.775481224060059,5.083392854067785e-139
