cell_type,n_spots,percent
Neuron_excitatory,1043,38.601036269430054
Oligodendrocyte,425,15.729089563286454
Astrocyte,394,14.58179126572909
Neuron_inhibitory,324,11.991117690599555
Endothelial,183,6.772760917838638
Microglia,180,6.661732050333087
Ependymal,68,2.516654330125833
Pericyte_VSMC,49,1.8134715025906736
OPC,36,1.3323464100666174
