cluster,predicted_cell_type,Neuron_inhibitory,Neuron_excitatory,Oligodendrocyte,OPC,Astrocyte,Microglia,Endothelial,predicted_cell_type_v2
0,Neuron_excitatory,0.022409297174222086,1.002364931117517,0.19548243387283268,0.007921597571892916,0.005994333374849022,0.02905522015073361,0.0053455613014921684,Neuron_excitatory
1,Oligodendrocyte,0.04054922778612006,0.16247056827026027,4.645445984366238,0.018507843923805688,0.03156445572709724,0.04132286336938465,0.014283343029835966,Oligodendrocyte
10,Oligodendrocyte,0.08986808355288446,0.5531367726394847,1.6013120965644538,0.4460541558006889,0.11313873021568929,0.0895149530967898,0.046641072408946944,Pericyte_VSMC
11,Oligodendrocyte,0.07637777238923672,0.18154963311794012,4.250811162810138,0.055206355842330496,0.5666116025059642,0.08326258660785443,0.013565821185389865,Oligodendrocyte
2,Neuron_excitatory,0.06444468113749183,1.1410519257350824,0.41380107874080013,0.011810969339000405,0.03243621102370393,0.024896767867523338,0.006605520653244053,Neuron_excitatory
3,Neuron_inhibitory,2.2320298862467034,0.30859754294324065,0.23904270566674207,0.015934993387222592,0.03446892414580777,0.012945746113042486,0.01527566732883917,Neuron_inhibitory
4,Oligodendrocyte,0.17614574138276248,0.5643631486464492,4.04253957588242,0.012908773256282638,0.03069517929122485,0.020669569805239898,0.02195116542941039,Oligodendrocyte
5,Endothelial,0.11094592654755321,0.5004849432255243,0.7848712302255143,0.15217909016677034,0.10924559803026987,0.03790794693061572,1.2312047683754033,Endothelial
6,Astrocyte,0.11369384933264155,0.36429954759609756,0.6092174513108322,0.01994525658987711,1.529040228628735,0.031023395424183475,0.028621594854435595,Astrocyte
7,Oligodendrocyte,0.09124644232770565,0.9084584806864278,1.0844463390121648,0.07944933863014449,0.20368344425071774,0.7019786913486104,0.03685832130812817,Neuron_excitatory
8,Oligodendrocyte,0.11016650946352742,0.23763071289130824,3.142148974850927,0.03971757128616587,0.16004455407676563,0.07230484402366322,0.41867097171693984,Oligodendrocyte
9,Oligodendrocyte,0.08128474130486801,0.29216218614183936,2.0252211512522593,0.06444142866300814,0.0966514091950859,1.0689012492482457,0.10516651498070968,Microglia
